f_Hz,ReZ_ohm,ImZ_ohm
1.248150000000000000e+08,1.175947043645655110e-01,-1.376262144227830442e+00
1.255500000000000000e+08,1.110062932434884714e-01,-1.364548047420994337e+00
1.262850000000000000e+08,1.037731774863571710e-01,-1.352319583107336243e+00
1.270200000000000000e+08,9.619740649777494546e-02,-1.339273947260537723e+00
1.277550000000000000e+08,8.868225214525089772e-02,-1.325301463789659184e+00
1.284900000000000000e+08,8.161670526293339500e-02,-1.310503974119463511e+00
1.292250000000000000e+08,7.527043122355159266e-02,-1.295149436361561435e+00
1.299600000000000000e+08,6.973151899670165799e-02,-1.279579564381181811e+00
1.306950000000000000e+08,6.490444773960603320e-02,-1.264101908932259599e+00
1.314300000000000000e+08,6.056548152913713429e-02,-1.248901560339537919e+00
1.321650000000000000e+08,5.645407234795069007e-02,-1.233999666107400195e+00
1.329000000000000000e+08,5.236799891051097111e-02,-1.219269176762212137e+00
1.336350000000000000e+08,4.823038621281480059e-02,-1.204498531096716007e+00
1.343700000000000000e+08,4.410805721988667050e-02,-1.189478189081387027e+00
1.351050000000000000e+08,4.017868784212721978e-02,-1.174078447335753728e+00
1.358400000000000000e+08,3.666242818755071492e-02,-1.158291905092460272e+00
1.365750000000000000e+08,3.374548587130585253e-02,-1.142228220628235258e+00
1.373100000000000000e+08,3.152453879725004154e-02,-1.126066979057745110e+00
1.380450000000000000e+08,2.999155556676444054e-02,-1.109989852518303399e+00
1.387800000000000000e+08,2.906232371732504066e-02,-1.094120231377563091e+00
1.395150000000000000e+08,2.863483713944147552e-02,-1.078494738315910695e+00
1.402500000000000000e+08,2.865201997113775781e-02,-1.063078023227999491e+00
1.409850000000000000e+08,2.914139922377706471e-02,-1.047814839718426372e+00
1.417200000000000000e+08,3.021305135523363883e-02,-1.032698119639161138e+00
1.424550000000000000e+08,3.201330389426301770e-02,-1.017824390090959596e+00
1.431900000000000000e+08,3.464930779949937367e-02,-1.003411361169473714e+00
1.439250000000000000e+08,3.811209370469641894e-02,-9.897657849233247873e-01
1.446600000000000000e+08,4.222828531139100061e-02,-9.772080214565962430e-01
1.453950000000000000e+08,4.666206005818771679e-02,-9.659764988220234105e-01
1.461300000000000000e+08,5.097203922825437050e-02,-9.561442562653645894e-01
1.468650000000000000e+08,5.470840527686267329e-02,-9.475775163987054661e-01
1.476000000000000000e+08,5.752055928741912211e-02,-9.399531524641525637e-01
1.483350000000000000e+08,5.924058594469722855e-02,-9.328322859559892155e-01
1.490700000000000000e+08,5.991487614712566467e-02,-9.257678771805172291e-01
1.498050000000000000e+08,5.977333403259794259e-02,-9.184120566188492818e-01
1.505400000000000000e+08,5.914677235450553627e-02,-9.105886814208208335e-01
1.512750000000000000e+08,5.836079491083340925e-02,-9.023085300483784099e-01
1.520100000000000000e+08,5.764224335666022492e-02,-8.937245123996534479e-01
1.527450000000000000e+08,5.706929642067948283e-02,-8.850451420244426215e-01
1.534800000000000000e+08,5.658031333248429023e-02,-8.764388297302131425e-01
1.542150000000000000e+08,5.603519467197456277e-02,-8.679642002092968767e-01
1.549500000000000000e+08,5.530397425364671354e-02,-8.595516047975721996e-01
1.556850000000000000e+08,5.434741903815390462e-02,-8.510417714366821373e-01
1.564200000000000000e+08,5.325735066462183864e-02,-8.422659144371473783e-01
1.571550000000000000e+08,5.223941275206486073e-02,-8.331354887241065876e-01
1.578900000000000000e+08,5.154284233102105622e-02,-8.237052156489171884e-01
1.586250000000000000e+08,5.136253104747171699e-02,-8.141820248159958862e-01
1.593600000000000000e+08,5.175056049344901182e-02,-8.048721640147163958e-01
1.600950000000000000e+08,5.257283155707599687e-02,-7.960819845054579735e-01
1.608300000000000000e+08,5.353154595954348616e-02,-7.880064148710739236e-01
1.615650000000000000e+08,5.425106403738687993e-02,-7.806460181871865966e-01
1.623000000000000000e+08,5.440108253721832182e-02,-7.737858258892670316e-01
1.630350000000000000e+08,5.381561100791413393e-02,-7.670489287785924315e-01
1.637700000000000000e+08,5.256487214089727855e-02,-7.600116994355257116e-01
1.645050000000000000e+08,5.095126425089125527e-02,-7.523446288097733747e-01
1.652400000000000000e+08,4.942562873846529509e-02,-7.439315244094812929e-01
1.659750000000000000e+08,4.844771648681205772e-02,-7.349248124738412269e-01
1.667100000000000000e+08,4.833516467119262916e-02,-7.257147226979986376e-01
1.674450000000000000e+08,4.915108801400282917e-02,-7.168185843883080333e-01
1.681800000000000000e+08,5.066922639872280948e-02,-7.087236726909317275e-01
1.689150000000000000e+08,5.243093024010563735e-02,-7.017337309877883511e-01
1.696500000000000000e+08,5.387809755342846951e-02,-6.958696186368500403e-01
1.703850000000000000e+08,5.452045407231299184e-02,-6.908579418078425460e-01
1.711200000000000000e+08,5.408308733551202285e-02,-6.862130523703796614e-01
1.718550000000000000e+08,5.258562345959515161e-02,-6.813867088964716823e-01
1.725900000000000000e+08,5.032660104479984298e-02,-6.759366098089176766e-01
1.733250000000000000e+08,4.777820821426582293e-02,-6.696581977872669844e-01
1.740600000000000000e+08,4.542673247171354761e-02,-6.626362892740446098e-01
1.747950000000000000e+08,4.361229310986665386e-02,-6.552001238282965101e-01
1.755300000000000000e+08,4.242140140762802603e-02,-6.477979958736200805e-01
