f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ22,ImZ22,ReZ12,ImZ12
8.561400000000000000e+08,8.709147000315086151e-01,3.499526998648175624e+00,-7.104413296278218326e-02,6.654877517272589360e-01,8.621722336802192799e-02,4.257224643362987337e-01,-8.146691820228921244e-02,6.384086424221425693e-01
8.568750000000000000e+08,9.006964206612092516e-01,3.572995030123496285e+00,-7.299858695066271941e-02,6.582621574713872770e-01,8.811284859228930844e-02,4.346167541416102176e-01,-8.366438460173492020e-02,6.304779304045449173e-01
8.576100000000000000e+08,9.356087002128312680e-01,3.648284220536688327e+00,-7.539924788884790063e-02,6.517593082183515962e-01,9.036104307933942592e-02,4.427534354953898132e-01,-8.635575517789141620e-02,6.232107732795453270e-01
8.583450000000000000e+08,9.758166585926154601e-01,3.724693020810234678e+00,-7.807677888629602214e-02,6.460536689306324298e-01,9.278636014462564308e-02,4.500776649402590257e-01,-8.938251103638762685e-02,6.166886577072815401e-01
8.590800000000000000e+08,1.021322921255053418e+00,3.801519964635077908e+00,-8.085011620908734431e-02,6.411785122002782167e-01,9.520612373709465281e-02,4.565771641591473973e-01,-9.257222236032440488e-02,6.109536907104794468e-01
8.598150000000000000e+08,1.071969397795484502e+00,3.878102588610013779e+00,-8.353615791052766693e-02,6.371245662589085645e-01,9.744056673463209750e-02,4.622825374438299662e-01,-9.574800314218953612e-02,6.060065879933236310e-01
8.605500000000000000e+08,1.127447714957125369e+00,3.953856148347712818e+00,-8.595945744136020139e-02,6.338408474385305302e-01,9.932272854943013929e-02,4.672652195816590637e-01,-9.873814126751061238e-02,6.018068774921251363e-01
8.612850000000000000e+08,1.187318370987626714e+00,4.028310356650454338e+00,-8.796145849941214290e-02,6.312376196084592550e-01,1.007075660670427308e-01,4.716331790736505436e-01,-1.013853931058103647e-01,5.982752931967236787e-01
8.620200000000000000e+08,1.251038351214118105e+00,4.101142299830631721e+00,-8.940882630574696621e-02,6.291913343942051595e-01,1.014797751449368624e-01,4.755246268578858793e-01,-1.035554510777551424e-01,5.952982171154201918e-01
8.627550000000000000e+08,1.317996573016931627e+00,4.172203666582658954e+00,-9.020046291686689699e-02,6.275513188317526359e-01,1.015598923623899641e-01,4.791000932439332671e-01,-1.051441392921213247e-01,5.927339170106269428e-01
8.634900000000000000e+08,1.387556114285680486e+00,4.241540475236334373e+00,-9.027284234488311410e-02,6.261478922495966604e-01,1.009083449852196390e-01,4.825333283014789920e-01,-1.060829643127457617e-01,5.904202309589571263e-01
8.642250000000000000e+08,1.459101737792394049e+00,4.309403637056724357e+00,-8.960336797858506341e-02,6.248015143301586249e-01,9.952723569757601640e-02,4.860015471613705063e-01,-1.063427415728524644e-01,5.881832731256746438e-01
8.649600000000000000e+08,1.532090783992480665e+00,4.376248969288627499e+00,-8.821154228054309265e-02,6.233324965564274178e-01,9.745978033081600933e-02,4.896755768492510597e-01,-1.059351273206617927e-01,5.858466834967553938e-01
8.656950000000000000e+08,1.606105109182095925e+00,4.442725685067801855e+00,-8.615784723506983434e-02,6.215707567521596699e-01,9.478745315075728928e-02,4.937104627919568500e-01,-1.049120043257726204e-01,5.832409211078464217e-01
