        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.12000000e+00,        +5.347895027335e-10,        +5.662690410799e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.12500000e+00,        +7.391051174623e-10,        +7.725207184164e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.13000000e+00,        +1.049051864376e-09,        +1.083161050058e-09,        +0.000000000000e+00,        +0.000000000000e+00
 1.13500000e+00,        +1.483170292836e-09,        +1.514205225870e-09,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+00,        +1.931404345604e-09,        +1.951813478056e-09,        +0.000000000000e+00,        +0.000000000000e+00
 1.14500000e+00,        +2.065909681022e-09,        +2.069092380896e-09,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+00,        +1.748358061983e-09,        +1.737730092626e-09,        +0.000000000000e+00,        +0.000000000000e+00
 1.15500000e+00,        +1.283334538432e-09,        +1.267629791655e-09,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+00,        +9.069654235820e-10,        +8.916365866007e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.16500000e+00,        +6.501736888559e-10,        +6.371353935943e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.17000000e+00,        +4.805213805079e-10,        +4.700974634224e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.17500000e+00,        +3.667491516330e-10,        +3.587427350125e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+00,        +2.882225407594e-10,        +2.823170692542e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.18500000e+00,        +2.323267062996e-10,        +2.282146420496e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.19000000e+00,        +1.913735642704e-10,        +1.887901114823e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.19500000e+00,        +1.605820802515e-10,        +1.593081790739e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+00,        +1.368971272450e-10,        +1.367536935552e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.20500000e+00,        +1.183106845029e-10,        +1.191513474086e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+00,        +1.034669937010e-10,        +1.051715275532e-10,        +0.000000000000e+00,        +0.000000000000e+00
 1.21500000e+00,        +9.142768139569e-11,        +9.389662240617e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+00,        +8.152842400261e-11,        +8.467881891916e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.22500000e+00,        +7.328919898552e-11,        +7.705129277436e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+00,        +6.635668777706e-11,        +7.067134975624e-11,        +0.000000000000e+00,        +0.000000000000e+00
