        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 1.20000000e+00,        +1.414213562373e-01,        +2.953068983090e-03,        -1.529421823051e-04
 1.20500000e+00,        +1.414213562373e-01,        +2.562394405680e-03,        +9.001270181294e-04
 1.21000000e+00,        +1.414213562373e-01,        +2.257551188564e-03,        +1.832676737360e-03
 1.21500000e+00,        +1.414213562373e-01,        +2.016409544875e-03,        +2.665519461457e-03
 1.22000000e+00,        +1.414213562373e-01,        +1.823424192535e-03,        +3.415227940859e-03
 1.22500000e+00,        +1.414213562373e-01,        +1.667447635015e-03,        +4.095062865022e-03
 1.23000000e+00,        +1.414213562373e-01,        +1.540335910229e-03,        +4.715706370444e-03
 1.23500000e+00,        +1.414213562373e-01,        +1.436038531159e-03,        +5.285828603974e-03
 1.24000000e+00,        +1.414213562373e-01,        +1.349991471243e-03,        +5.812521730877e-03
 1.24500000e+00,        +1.414213562373e-01,        +1.278704143086e-03,        +6.301632150996e-03
 1.25000000e+00,        +1.414213562373e-01,        +1.219473189687e-03,        +6.758015615506e-03
 1.25500000e+00,        +1.414213562373e-01,        +1.170180794832e-03,        +7.185734186168e-03
 1.26000000e+00,        +1.414213562373e-01,        +1.129150342817e-03,        +7.588209279798e-03
 1.26500000e+00,        +1.414213562373e-01,        +1.095041641395e-03,        +7.968341423671e-03
 1.27000000e+00,        +1.414213562373e-01,        +1.066773859242e-03,        +8.328604638228e-03
 1.27500000e+00,        +1.414213562373e-01,        +1.043468155166e-03,        +8.671121358152e-03
 1.28000000e+00,        +1.414213562373e-01,        +1.024404484100e-03,        +8.997722324727e-03
 1.28500000e+00,        +1.414213562373e-01,        +1.008988735123e-03,        +9.309994792288e-03
 1.29000000e+00,        +1.414213562373e-01,        +9.967274857204e-04,        +9.609321585156e-03
 1.29500000e+00,        +1.414213562373e-01,        +9.872084303532e-04,        +9.896912942221e-03
 1.30000000e+00,        +1.414213562373e-01,        +9.800850787515e-04,        +1.017383263847e-02
 1.30500000e+00,        +1.414213562373e-01,        +9.750646970602e-04,        +1.044101953610e-02
 1.31000000e+00,        +1.414213562373e-01,        +9.718987335214e-04,        +1.069930546314e-02
 1.31500000e+00,        +1.414213562373e-01,        +9.703751633766e-04,        +1.094943012353e-02
 1.32000000e+00,        +1.414213562373e-01,        +9.703123277934e-04,        +1.119205359400e-02
 1.32500000e+00,        +1.414213562373e-01,        +9.715539443120e-04,        +1.142776684850e-02
 1.33000000e+00,        +1.414213562373e-01,        +9.739650422639e-04,        +1.165710066190e-02
 1.33500000e+00,        +1.414213562373e-01,        +9.774286332563e-04,        +1.188053317551e-02
 1.34000000e+00,        +1.414213562373e-01,        +9.818429694165e-04,        +1.209849635211e-02
 1.34500000e+00,        +1.414213562373e-01,        +9.871192743573e-04,        +1.231138150552e-02
