f_Hz,ReZ_ohm,ImZ_ohm
3.522500000000000000e+08,2.731124991513626463e-02,2.769386158428355227e-01
3.532250000000000000e+08,2.339993975426840275e-02,2.868442374629578406e-01
3.542000000000000000e+08,2.065157818823603469e-02,2.974755013547992766e-01
3.551750000000000000e+08,1.920088251608909058e-02,3.085460630376171687e-01
3.561500000000000000e+08,1.911330597452602295e-02,3.197468245238101470e-01
3.571250000000000000e+08,2.038180207117208306e-02,3.307623251626256033e-01
3.581000000000000000e+08,2.292737041908956067e-02,3.412874091341136507e-01
3.590750000000000000e+08,2.660334590852936679e-02,3.510433265988822105e-01
3.600500000000000000e+08,3.120321472419250106e-02,3.597924525684843555e-01
3.610250000000000000e+08,3.647156977037099151e-02,3.673508691147712724e-01
3.620000000000000000e+08,4.211766010360557672e-02,3.735981521954013784e-01
3.629750000000000000e+08,4.783085055782327483e-02,3.784838331746776530e-01
3.639500000000000000e+08,5.329719644330388473e-02,3.820301647223606767e-01
3.649250000000000000e+08,5.821626213636071218e-02,3.843310066396399272e-01
3.659000000000000000e+08,6.231727936662227740e-02,3.855468519528352234e-01
3.668750000000000000e+08,6.537375735646204500e-02,3.858962270126072291e-01
3.678500000000000000e+08,6.721572615572854459e-02,3.856439084296546804e-01
3.688250000000000000e+08,6.773891606791741793e-02,3.850865899467305620e-01
3.698000000000000000e+08,6.691034483950029921e-02,3.845367891438974395e-01
3.707750000000000000e+08,6.476999042054615296e-02,3.843058941799713524e-01
3.717500000000000000e+08,6.142845669910861062e-02,3.846873049218610952e-01
3.727250000000000000e+08,5.706077608147695074e-02,3.859406158565460987e-01
3.737000000000000000e+08,5.189671870088397032e-02,3.882777206244875656e-01
3.746750000000000000e+08,4.620817709206416490e-02,3.918515957701628194e-01
3.756500000000000000e+08,4.029435400416773311e-02,3.967483548758165002e-01
3.766250000000000000e+08,3.446559050880380892e-02,4.029829672826314435e-01
3.776000000000000000e+08,2.902672739926379780e-02,4.104988231604053683e-01
3.785750000000000000e+08,2.426089548190209916e-02,4.191711134456143073e-01
3.795500000000000000e+08,2.041458407886334245e-02,4.288137919827926248e-01
3.805250000000000000e+08,1.768474898905489021e-02,4.391897081527214586e-01
3.815000000000000000e+08,1.620859980742972092e-02,4.500233483020159575e-01
3.824750000000000000e+08,1.605656060871133925e-02,4.610155074354014837e-01
3.834500000000000000e+08,1.722873562014751517e-02,4.718591306287717169e-01
3.844250000000000000e+08,1.965503959779908022e-02,4.822555167276034727e-01
3.854000000000000000e+08,2.319897705260289336e-02,4.919300646948865374e-01
3.863750000000000000e+08,2.766488040589836980e-02,5.006467649520223162e-01
3.873500000000000000e+08,3.280824961795788391e-02,5.082206938405936514e-01
