f_Hz,ReZ0_ohm,ImZ0_ohm
6.980000000000000000e+08,4.851160808906890765e+01,-2.599892097071182517e-01
7.000000000000000000e+08,4.851072503486209087e+01,-2.600735913174119784e-01
7.020000000000000000e+08,4.850984237771550056e+01,-2.601534464884163733e-01
7.040000000000000000e+08,4.850896013664054607e+01,-2.602287758535498652e-01
7.060000000000000000e+08,4.850807833064193630e+01,-2.602995801291860811e-01
7.080000000000000000e+08,4.850719697871723213e+01,-2.603658601146968121e-01
7.100000000000000000e+08,4.850631609985649106e+01,-2.604276166922872560e-01
7.120000000000000000e+08,4.850543571304189072e+01,-2.604848508268262086e-01
7.140000000000000000e+08,4.850455583724709641e+01,-2.605375635657674049e-01
7.160000000000000000e+08,4.850367649143719717e+01,-2.605857560390504868e-01
7.180000000000000000e+08,4.850279769456800949e+01,-2.606294294588553107e-01
7.200000000000000000e+08,4.850191946558577882e+01,-2.606685851195338355e-01
7.220000000000000000e+08,4.850104182342687409e+01,-2.607032243975024310e-01
