f_Hz,ReZ11,ImZ11,ReZ21,ImZ21,ReZ12,ImZ12,ReZ22,ImZ22
7.557000000000000000e+07,8.276180081668955690e-01,-2.927012820764348877e+00,8.248627156642428515e-01,-3.295757595647562432e+00,8.254708643106531962e-01,-3.297280154495689786e+00,8.283494891126105264e-01,-2.896624911874089214e+00
7.630500000000000000e+07,8.127797351503001089e-01,-2.897610100854524973e+00,8.099812337310713373e-01,-3.270107358023137678e+00,8.105818612296770143e-01,-3.271625771267725469e+00,8.135057981411910610e-01,-2.866852958307392729e+00
7.704000000000000000e+07,7.983318013331494045e-01,-2.868619383788037158e+00,7.954849091993458909e-01,-3.244872637006416927e+00,7.960788190133082365e-01,-3.246387744879205783e+00,7.990536055972634610e-01,-2.837490595288565842e+00
7.777500000000000000e+07,7.842602420898142634e-01,-2.840032827475627020e+00,7.813615443938997096e-01,-3.220042851779704840e+00,7.819489614640817710e-01,-3.221555851202418719e+00,7.849792310275728324e-01,-2.808530534815818047e+00
7.851000000000000000e+07,7.705514652858619362e-01,-2.811842087646254651e+00,7.676007310216159674e-01,-3.195608796694592080e+00,7.681811873266217727e-01,-3.197120770576140192e+00,7.712689268180891178e-01,-2.779965013556494835e+00
7.924500000000000000e+07,7.571927202130028789e-01,-2.784038377290581234e+00,7.541927110813337887e-01,-3.171563173981017503e+00,7.547652760617360457e-01,-3.173074657316826030e+00,7.579094393821425024e-01,-2.751785556883552974e+00
7.998000000000000000e+07,7.441724043980841863e-01,-2.756612840054914138e+00,7.411271628787458043e-01,-3.147900250600644600e+00,7.416909095581929456e-01,-3.149411055229179635e+00,7.448885795314766911e-01,-2.723983189917857484e+00
8.071500000000000000e+07,7.314800392772990989e-01,-2.729557050925208284e+00,7.283925132753020781e-01,-3.124614808265541832e+00,7.289469896498869117e-01,-3.126124200587826696e+00,7.321955036614266055e-01,-2.696548988761648058e+00
8.145000000000000000e+07,7.191059119941417555e-01,-2.702863391158633721e+00,7.159761142164783321e-01,-3.101700912703575952e+00,7.165215832693753173e-01,-3.103208061705443832e+00,7.198205529412826653e-01,-2.669474694173866069e+00
8.218500000000000000e+07,7.070405499174347019e-01,-2.676525105313042552e+00,7.038651872932664144e-01,-3.079151120968006694e+00,7.044025123511752362e-01,-3.080655596456799650e+00,7.077547201005089939e-01,-2.642753078324060034e+00
8.292000000000000000e+07,6.952742812744516776e-01,-2.650536006912326048e+00,6.920480531396913104e-01,-3.056956526541087626e+00,6.925782823023768353e-01,-3.058458599594521932e+00,6.959890010202038901e-01,-2.616377879002994788e+00
8.365500000000000000e+07,6.837970948048843756e-01,-2.624889976518766765e+00,6.805150180825647599e-01,-3.035107620819754271e+00,6.810388733721083332e-01,-3.036608215430986135e+00,6.845139468929720694e-01,-2.590343332774774687e+00
8.439000000000000000e+07,6.725988627306526135e-01,-2.599580502312648811e+00,6.692584620586879973e-01,-3.013595538120359851e+00,6.697759886766624371e-01,-3.015095857314537664e+00,6.733196326442362212e-01,-2.564643540057752968e+00
8.512500000000000000e+07,6.616698086511836330e-01,-2.574600494186860100e+00,6.582720737007461409e-01,-2.992413057067488058e+00,6.587826260572215986e-01,-2.993914071143656042e+00,6.623960487118418783e-01,-2.539271979755008068e+00
8.586000000000000000e+07,6.510009772656440985e-01,-2.549942466191243540e+00,6.475496086468743862e-01,-2.971554852654243906e+00,6.480521809851005344e-01,-2.973056908481665150e+00,6.517337108475250718e-01,-2.514221416143689769e+00
8.659500000000000000e+07,6.405844597948242569e-01,-2.525598996545818320e+00,6.370837887442677427e-01,-2.951016869997136638e+00,6.375775235584503209e-01,-2.952519621400885086e+00,6.413241730948658903e-01,-2.489484243707763778e+00
8.733000000000000000e+07,6.304132504722114172e-01,-2.501563232741616627e+00,6.268658905562938255e-01,-2.930795133592459578e+00,6.273505057812190921e-01,-2.932297832107015445e+00,6.311601777101840671e-01,-2.465053095312720988e+00
8.806500000000000000e+07,6.204807954101934087e-01,-2.477829183613172503e+00,6.168862255078687573e-01,-2.910884591629371521e+00,6.173621391743370213e-01,-2.912386594374057669e+00,6.212353583407411728e-01,-2.440921406270875060e+00
8.880000000000000000e+07,6.107804522139136383e-01,-2.454391644943898054e+00,6.071352648351384662e-01,-2.891278579099401558e+00,6.076033459322710550e-01,-2.892779818202661168e+00,6.115436377155066827e-01,-2.417083648362994275e+00
8.953500000000000000e+07,6.013051271981143531e-01,-2.431245788689769594e+00,5.976048364194406215e-01,-2.871969173170896283e+00,5.980658985484096357e-01,-2.873470346538526510e+00,6.020786154325320494e-01,-2.393535113218642429e+00
9.027000000000000000e+07,5.920472712622731892e-01,-2.408386616426398508e+00,5.882887823354840950e-01,-2.852948265139373163e+00,5.887430679637083442e-01,-2.854450645036981538e+00,5.928332474388350315e-01,-2.370271350759616702e+00
9.100500000000000000e+07,5.829992372544193779e-01,-2.385808548889262415e+00,5.791827356448480124e-01,-2.834208811228235980e+00,5.796296465686588961e-01,-2.835713757411747693e+00,5.837999731998506636e-01,-2.347287542040646713e+00
9.174000000000000000e+07,5.741538199639605322e-01,-2.363505358457191452e+00,5.702831175712618217e-01,-2.815745632316024150e+00,5.707213264131737462e-01,-2.817254044813650271e+00,5.749712222410398033e-01,-2.324578119414358657e+00
9.247500000000000000e+07,5.655047063455220790e-01,-2.341470481512660129e+00,5.615858491404898123e-01,-2.797555357524019737e+00,5.620137370947902999e-01,-2.799067335357383612e+00,5.663400412956188790e-01,-2.302136823357441742e+00
9.321000000000000000e+07,5.570466062316473677e-01,-2.319697557438781033e+00,5.530854165125289601e-01,-2.779635536061594525e+00,5.535016192548944947e-01,-2.781150405358969735e+00,5.579005224761740545e-01,-2.279957166330318863e+00
9.394500000000000000e+07,5.487749924241069888e-01,-2.298180926269405955e+00,5.447747527943901380e-01,-2.761983359915596736e+00,5.451785423040261813e-01,-2.763500048775076490e+00,5.496478125038657403e-01,-2.258033069550281269e+00
9.468000000000000000e+07,5.406855747244727617e-01,-2.276915836224713274e+00,5.366459892142919630e-01,-2.744594636108427022e+00,5.370373026973037645e-01,-2.746112197625762974e+00,5.415776933154415884e-01,-2.236359351309885835e+00
9.541500000000000000e+07,5.327737668115419822e-01,-2.255898257000657381e+00,5.286916912041139671e-01,-2.727463521938248370e+00,5.290707984943158193e-01,-2.728981530312963866e+00,5.336859398636902840e-01,-2.214931819504075250e+00
