k,t_real_s,y1,u1_aplicado,dy1,du1_aplicado
1650,8.25,2.511,6.016,0.03400000000000025,-43.984
1651,8.255,2.432,93.145,-0.04499999999999993,43.144999999999996
1652,8.26,2.514,6.016,0.03699999999999992,-43.984
1653,8.265,2.437,14.502,-0.040000000000000036,-35.498
1654,8.27,2.428,84.336,-0.04899999999999993,34.336
1655,8.275,2.43,93.135,-0.04699999999999971,43.135000000000005
1656,8.28,2.513,93.359,0.03600000000000003,43.358999999999995
1657,8.285,2.547,6.113,0.07000000000000028,-43.887
1658,8.29,2.469,93.262,-0.008000000000000007,43.262
1659,8.295,2.551,93.477,0.07400000000000029,43.477000000000004
1660,8.3,2.623,93.682,0.14600000000000035,43.682
1661,8.305,2.671,76.26,0.19399999999999995,26.260000000000005
1662,8.31,2.718,50.264,0.2410000000000001,0.2640000000000029
1663,8.315,2.689,41.357,0.2120000000000002,-8.643
1664,8.32,2.629,6.289,0.15200000000000014,-43.711
1665,8.325,2.595,49.873,0.11800000000000033,-0.12700000000000244
1666,8.33,2.562,93.477,0.08499999999999996,43.477000000000004
1667,8.335,2.648,6.367,0.17100000000000026,-43.633
1668,8.34,2.56,93.506,0.08300000000000018,43.506
1669,8.345,2.642,6.328,0.16500000000000004,-43.672
1670,8.35,2.551,6.133,0.07400000000000029,-43.867
1671,8.355,2.515,40.947,0.038000000000000256,-9.052999999999997
1672,8.36,2.556,93.477,0.07900000000000018,43.477000000000004
1673,8.365,2.634,49.961,0.15700000000000003,-0.03900000000000148
1674,8.37,2.64,84.932,0.16300000000000026,34.932
1675,8.375,2.646,41.289,0.16900000000000004,-8.710999999999999
1676,8.38,2.669,93.809,0.19200000000000017,43.809
1677,8.385,2.632,6.318,0.15500000000000025,-43.682
1678,8.39,2.541,14.766,0.06400000000000006,-35.234
1679,8.395,2.547,6.113,0.07000000000000028,-43.887
1680,8.4,2.468,5.869,-0.008999999999999897,-44.131
1681,8.405,2.388,93.047,-0.08899999999999997,43.047
1682,8.41,2.387,14.375,-0.08999999999999986,-35.625
1683,8.415,2.353,5.615,-0.12399999999999967,-44.385
1684,8.42,2.283,49.033,-0.19399999999999995,-0.9669999999999987
1685,8.425,2.279,92.695,-0.19799999999999995,42.69499999999999
1686,8.43,2.37,66.748,-0.10699999999999976,16.748000000000005
1687,8.435,2.404,75.615,-0.07299999999999995,25.614999999999995
1688,8.44,2.388,31.885,-0.08899999999999997,-18.115
1689,8.445,2.392,5.703,-0.08499999999999996,-44.297
1690,8.45,2.314,5.488,-0.1629999999999998,-44.512
1691,8.455,2.346,66.719,-0.13099999999999978,16.718999999999994
1692,8.46,2.394,75.566,-0.08299999999999974,25.566000000000003
1693,8.465,2.423,66.904,-0.053999999999999826,16.903999999999996
1694,8.47,2.452,67.031,-0.02499999999999991,17.031000000000006
1695,8.475,2.407,14.443,-0.06999999999999984,-35.557
1696,8.48,2.357,14.287,-0.11999999999999966,-35.713
1697,8.485,2.357,5.635,-0.11999999999999966,-44.365
1698,8.49,2.29,92.686,-0.18699999999999983,42.68600000000001
1699,8.495,2.317,5.557,-0.1599999999999997,-44.443
1700,8.5,2.26,92.656,-0.21700000000000008,42.656000000000006
1701,8.505,2.29,57.871,-0.18699999999999983,7.871000000000002
1702,8.51,2.327,66.611,-0.1499999999999999,16.611000000000004
1703,8.515,2.306,92.871,-0.17099999999999982,42.870999999999995
1704,8.52,2.406,93.047,-0.07099999999999973,43.047
